CV1 (voltage),CV2 (voltage),Flow 1 (LPH),Flow 2 (LPH),Level 1 (mm),Level 2 (mm),Time (sec)
4.5,4.5,216.6364136,221.7058411,177.9536743,157.1330872,48.2
4.5,4.5,216.4794006,221.9301453,178.0119629,157.0942383,48.4
4.5,4.5,216.6139832,221.9974365,177.9147644,156.9386902,48.6
4.5,4.5,216.4794006,221.7507019,177.9342041,157.016449,48.8
4.5,4.5,216.4569702,221.8852844,177.9147644,157.0358887,49
4.5,4.5,216.4794006,221.8404236,177.9147644,157.016449,49.2
4.5,4.5,216.7261353,221.9750061,177.9147644,157.113678,49.4
4.5,4.5,216.5915527,221.8404236,177.875885,157.0358887,49.6
4.5,4.5,216.5691528,222.289032,177.8564758,157.016449,49.8
4.5,4.5,216.6139832,221.9974365,177.8175659,156.9581299,50
4.5,4.5,216.5466919,221.9974365,177.8953247,156.9581299,50.2
4.5,4.5,216.4794006,221.862854,177.8953247,156.9970093,50.4
4.5,4.5,216.5691528,222.0647278,177.8953247,156.9775696,50.6
4.5,4.5,216.6364136,220.9880371,177.8953247,156.9386902,50.8
5.199999809,4.5,216.6364136,221.0328674,177.8175659,156.9192505,51
5.199999809,4.5,216.4569702,220.8310242,177.8564758,157.0358887,51.2
5.199999809,4.5,216.5466919,220.9431763,177.875885,156.9970093,51.4
5.199999809,4.5,216.5915527,221.0777588,177.8175659,156.9581299,51.6
5.199999809,4.5,216.5242615,220.8085632,177.7981262,156.9192505,51.8
5.199999809,4.5,216.4569702,220.6964111,177.875885,156.9970093,52
5.199999809,4.5,217.4887695,220.8982849,177.8564758,156.9970093,52.2
5.199999809,4.5,217.5560913,221.010437,177.8370056,156.9386902,52.4
5.199999809,4.5,217.4887695,219.8665161,177.8370056,156.9581299,52.6
5.199999809,4.5,218.6103821,220.1132202,177.7786865,156.8609314,52.8
5.199999809,4.5,219.5299988,219.9562378,177.7398071,156.9386902,53
5.199999809,4.5,220.4945679,219.9562378,177.8175659,156.9581299,53.2
5.199999809,4.5,221.5488281,220.0234985,177.7786865,156.9386902,53.4
5.199999809,4.5,223.545166,219.754364,177.8564758,156.9775696,53.6
5.199999809,4.5,224.4200134,219.8665161,177.8175659,156.9970093,53.8
5.199999809,4.5,225.6312866,220.0459595,177.7786865,156.9581299,54
5.199999809,4.5,227.8968201,219.9786682,177.7786865,156.8803711,54.2
5.199999809,4.5,228.5249329,220.0683899,177.8175659,156.9192505,54.4
5.199999809,4.5,230.6558533,219.888916,177.9147644,156.9775696,54.6
5.199999809,5.199999809,231.4409485,219.9786682,177.9342041,156.9970093,54.8
5.199999809,5.199999809,233.4821472,219.888916,177.8175659,156.9775696,55
5.199999809,5.199999809,234.4691772,219.888916,177.9147644,156.9970093,55.2
5.199999809,5.199999809,236.4430542,220.1132202,177.9147644,157.0358887,55.4
5.199999809,5.199999809,237.1160278,219.7991943,177.9147644,157.016449,55.6
5.199999809,5.199999809,239.3367004,219.888916,177.7981262,156.9192505,55.8
5.199999809,5.199999809,240.4133606,219.8665161,177.9536743,156.9970093,56
5.199999809,5.199999809,241.3106689,219.7095032,183.0664368,156.9970093,56.2
5.199999809,5.199999809,242.4321899,220.9880371,183.1247559,157.0358887,56.4
5.199999809,5.199999809,243.2172852,221.6833801,183.1247559,157.016449,56.6
5.199999809,5.199999809,244.383667,221.9301453,183.1053162,157.0553284,56.8
5.199999809,5.199999809,245.4827881,222.8722534,183.0858765,156.9970093,57
5.199999809,5.199999809,246.4024963,223.7919312,183.1441956,157.0747681,57.2
5.199999809,5.199999809,247.4343262,225.6985779,183.0858765,157.0358887,57.4
5.199999809,5.199999809,248.331543,226.8425598,183.1053162,157.0553284,57.6
5.199999809,5.199999809,249.3858337,227.7622375,183.1247559,157.0358887,57.8
5.199999809,5.199999809,249.4755554,228.637085,183.0858765,157.0358887,58
5.199999809,5.199999809,250.3952332,229.7810669,183.0664368,157.0553284,58.2
5.199999809,5.199999809,251.3373718,231.5979614,183.0858765,157.0358887,58.4
5.199999809,5.199999809,251.27005,232.7419739,183.1053162,157.016449,58.6
5.199999809,5.199999809,252.3691406,233.5942993,183.1636353,157.016449,58.8
5.199999809,5.199999809,252.4140015,235.7477112,183.1441956,157.016449,59
5.199999809,5.199999809,253.1990967,236.3757935,183.0858765,157.016449,59.2
5.199999809,5.199999809,253.4682922,237.6319275,183.0664368,156.9192505,59.4
5.199999809,5.199999809,254.6122742,238.7086182,183.1441956,162.2653503,59.6
5.199999809,5.199999809,254.2533875,239.3367004,183.0275574,162.1098022,59.8
5.199999809,5.199999809,254.3655396,240.3909302,183.0081177,162.187561,60
5.199999809,5.199999809,255.352478,241.3779297,183.0858765,162.1681519,60.2
5.199999809,5.199999809,255.2178955,241.714386,183.0664368,162.2070007,60.4
5.199999809,5.199999809,255.352478,242.1181335,183.0858765,162.187561,60.6
5.199999809,5.199999809,256.2497253,242.8135071,183.0858765,162.2070007,60.8
5.199999809,5.199999809,256.2945862,243.688324,183.0275574,162.1681519,61
5.199999809,5.199999809,256.2273254,243.8004761,182.988678,162.0514832,61.2
5.199999809,5.199999809,256.3394775,244.8771667,183.0275574,162.1681519,61.4
5.199999809,5.199999809,257.3040161,245.6174316,183.0081177,161.9931335,61.6
5.199999809,5.199999809,257.3937683,245.9763184,183.0275574,162.1098022,61.8
5.199999809,5.199999809,257.4834595,246.6940613,183.0081177,162.0514832,62
5.199999809,5.199999809,257.348877,247.6586304,188.2375793,162.0514832,62.2
5.199999809,5.199999809,257.2591553,247.6586304,188.257019,162.1098022,62.4
5.199999809,5.199999809,258.3358154,248.5110168,188.1986694,162.0709534,62.6
5.199999809,5.199999809,258.2909851,248.7577515,188.3153381,162.187561,62.8
5.199999809,5.199999809,258.2909851,249.6773987,188.2764282,162.1292419,63
5.199999809,5.199999809,258.3582458,249.7446899,188.2958679,162.2264404,63.2
5.199999809,5.199999809,258.1115112,249.5203857,188.2764282,162.1487122,63.4
5.199999809,5.199999809,258.2012329,250.6868286,188.2764282,162.2070007,63.6
5.199999809,5.199999809,259.2779541,250.7316895,188.15979,162.0709534,63.8
5.199999809,5.199999809,259.2554932,250.5073853,188.2958679,162.187561,64
5.199999809,5.199999809,259.2554932,251.6513672,188.2181396,162.1487122,64.2
5.199999809,5.199999809,259.1882324,251.6289368,188.2764282,162.2653503,64.4
5.199999809,5.199999809,259.2106323,251.9429626,188.1986694,162.1681519,64.6
5.199999809,5.199999809,259.2330627,251.6065063,188.3347778,162.2070007,64.8
5.199999809,5.199999809,259.3901062,252.8178101,188.3153381,167.4170227,65
5.199999809,5.199999809,259.2779541,252.9747925,188.257019,167.4364624,65.2
5.199999809,5.199999809,259.3003845,252.8178101,188.2958679,167.4558716,65.4
5.199999809,5.199999809,259.2554932,252.7953796,188.2764282,167.3586731,65.6
5.199999809,5.199999809,259.2779541,253.4682922,188.257019,167.3003845,65.8
5.199999809,5.199999809,259.3227844,253.4907227,188.2764282,167.4558716,66
5.199999809,5.199999809,259.1882324,253.670166,188.2375793,167.3198242,66.2
5.199999809,5.199999809,259.3452148,253.6252747,188.3153381,167.3781128,66.4
5.199999809,5.199999809,259.2106323,253.7374268,188.2764282,167.3198242,66.6
5.199999809,5.199999809,260.2649231,253.4907227,188.257019,167.2809143,66.8
5.199999809,5.199999809,260.2200623,254.5225525,188.257019,167.3198242,67
5.199999809,5.199999809,260.0854797,254.6795654,188.2958679,167.4170227,67.2
5.199999809,5.199999809,260.1976318,254.5449829,188.257019,167.3586731,67.4
5.199999809,5.199999809,260.152771,254.7019958,188.257019,167.3586731,67.6
5.199999809,5.199999809,260.1752014,254.5674133,188.257019,167.3198242,67.8
5.199999809,5.199999809,260.152771,254.4328308,188.1986694,167.3198242,68
5.199999809,5.199999809,260.2873535,254.5449829,188.3153381,167.4364624,68.2
5.199999809,5.199999809,260.2424622,255.5992432,188.2181396,167.3003845,68.4
